name	provider	accession	tax_id	annotation	species	other_info
ViralProj15505	NCBI	GCF_000863945.3	337041	True	Human papillomavirus 16	National Center for Biotechnology Information, NIH
ASM317737v1	NCBI	GCA_003177375.1	337044	True	Human papillomavirus 69	Toshihiko Matsukura, National Institute of Infectious Dieseases, Department of Virology II; 1-23-1 Toyama, Shinjuku, Tokyo 162-8640, Japan
ASM317795v1	NCBI	GCA_003177955.1	931244	True	Human papillomavirus 106	Microbiology and Immunology, Albert Einstein College of Medicine of Yeshiva University
ASM317823v1	NCBI	GCA_003178235.1	333924	True	Human papillomavirus 111	Department of Medical Microbiology, Lunds University, Institution of Laboratory Medicine
ASM317861v1	NCBI	GCA_003178615.1	337039	True	Human papillomavirus 117	Klinik fur Dermatologie, Venerologie und Allergologie, Hauttumorcentrum Charite
ASM317863v1	NCBI	GCA_003178635.1	337051	True	Human papillomavirus 118	Klinik fur Dermatologie, Venerologie und Allergologie, Hauttumorcentrum Charite
ASM317881v1	NCBI	GCA_003178815.1	1175852	True	Human papillomavirus 130	Clinic for Dermatology, Venerology und Allergology, Haut Tumor Centrum Charite (HTCC), Charite - Universitaetsmedizin Berlin
ASM317897v1	NCBI	GCA_003178975.1	1175852	True	Human papillomavirus 142	Microbiology and Immunology, Albert Einstein College of Medicine of Yeshiva University
ASM317919v1	NCBI	GCA_003179195.1	1175849	True	Human papillomavirus 155	Dept of Laboratory Medicine, Lund University
ASM317941v1	NCBI	GCA_003179415.1	1513264	True	Human papillomavirus 162	Genetic Department, Peking University Cancer Hospital & Institute
ASM317951v1	NCBI	GCA_003179515.1	337039	True	Human papillomavirus type XS2	University of Cologne, Institute of Virology
ASM317961v1	NCBI	GCA_003179615.1	1513257	True	Human papillomavirus 199	Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana
ASM317971v1	NCBI	GCA_003179715.1	1513256	True	Human papillomavirus 202	Laboratory Medicine, Karolinska Institutet
ASM317981v1	NCBI	GCA_003179815.1	1513257	True	Human papillomavirus 157	Human Virology Group, Institute of Molecular and Cellular Biology CONICET
ASM317983v1	NCBI	GCA_003179835.1	333926	True	Human papillomavirus 205	Human Virology Group, Institute of Molecular and Cellular Biology CONICET
ASM318005v1	NCBI	GCA_003180055.1	337042	True	Human papillomavirus 39	na
ASM318019v1	NCBI	GCA_003180195.1	337051	True	Human papillomavirus 21	Andrew D. Farmer, HIV Sequence Database, Los Alamos National Labroatory, T-10, Mail Stop K710, Los Alamos, NM 87501, USA
ASM318031v1	NCBI	GCA_003180315.1	337051	True	Human papillomavirus 36	Andrew D. Farmer, HIV Sequence Database, Los Alamos National Labroatory, T-10, Mail Stop K710, Los Alamos, NM 87501, USA
ASM318059v1	NCBI	GCA_003180595.1	333924	True	Human papillomavirus 15	H. Delius, Deutsches Krebsforschungszentrum, Abteilung ATV, Im Neuenheimer Feld 506, W 6900 Heidelberg, FRG
ASM318069v1	NCBI	GCA_003180695.1	337041	True	Human papillomavirus type 35H	H. Delius, Deutsches Krebsforschungszentrum, Abteilung ATV, Im Neuenheimer Feld 506, W 6900 Heidelberg, FRG
ASM318079v1	NCBI	GCA_003180795.1	337042	True	Human papillomavirus 59	J. Choe, C/O Hajo Delius, DKFZ - Abt. ATV, Im Neuenheimer Feld 506, 69120 Heidelberg, FRG
ASM317751v1	NCBI	GCA_003177515.1	333767	True	Human papillomavirus 83	Medicine, Indiana University School of Medicine
ASM317791v1	NCBI	GCA_003177915.1	337042	True	Human papillomavirus type 68a	Microbiology and Immunology, Albert Einstein College of Medicine of Yeshiva University
ASM317853v1	NCBI	GCA_003178535.1	333924	True	Human papillomavirus 151	Kovanda A., Laboratory for Molecular Microbiology, Institute of Microbiology and Immunology, Zaloska 4, Ljubljana, 1000 Ljubljana, SLOVENIA
ASM317869v1	NCBI	GCA_003178695.1	333924	True	Human papillomavirus 122	Microbiology and Immunology, Albert Einstein College of Medicine of Yeshiva University
ASM317887v1	NCBI	GCA_003178875.1	333924	True	Human papillomavirus 159	Kocjan B.J., Faculty of Medicine, University of, Ljubljana, Institute of Microbiology and, Zaloska 4, Ljubljana, 1000, SLOVENIA
ASM317891v1	NCBI	GCA_003178915.1	1175849	True	Human papillomavirus 138	Microbiology and Immunology, Albert Einstein College of Medicine of Yeshiva University
ASM317901v1	NCBI	GCA_003179015.1	333924	True	Human papillomavirus 145	Microbiology and Immunology, Albert Einstein College of Medicine of Yeshiva University
ASM317903v1	NCBI	GCA_003179035.1	1513260	True	Human papillomavirus 146	Microbiology and Immunology, Albert Einstein College of Medicine of Yeshiva University
ASM317937v1	NCBI	GCA_003179375.1	1513256	True	Human papillomavirus 169	Genetic Department, Peking University Cancer Hospital & Institute
ASM317957v1	NCBI	GCA_003179575.1	1513256	True	Human papillomavirus 171	Pathology, University of Washington
ASM317997v1	NCBI	GCA_003179975.1	337051	False	Human papillomavirus type 8	na
ASM318023v1	NCBI	GCA_003180235.1	333924	True	Human papillomavirus 23	Andrew D. Farmer, HIV Sequence Database, Los Alamos National Labroatory, T-10, Mail Stop K710, Los Alamos, NM 87501, USA
ASM318035v1	NCBI	GCA_003180355.1	333924	True	Human papillomavirus 38	Andrew D. Farmer, HIV Sequence Database, Los Alamos National Labroatory, T-10, Mail Stop K710, Los Alamos, NM 87501, USA
ASM318037v1	NCBI	GCA_003180375.1	333754	True	Human papillomavirus 44	Andrew D. Farmer, HIV Sequence Database, Los Alamos National Labroatory, T-10, Mail Stop K710, Los Alamos, NM 87501, USA
ASM318053v1	NCBI	GCA_003180535.1	337039	True	Human papillomavirus 3	H. Delius, Deutsches Krebsforschungszentrum, Abteilung ATV, Im Neuenheimer Feld 506, W 6900 Heidelberg, FRG
ASM318055v1	NCBI	GCA_003180555.1	337051	True	Human papillomavirus 12	H. Delius, Deutsches Krebsforschungszentrum, Abteilung ATV, Im Neuenheimer Feld 506, W 6900 Heidelberg, FRG
ASM318063v1	NCBI	GCA_003180635.1	337051	True	Human papillomavirus 19	H. Delius, Deutsches Krebsforschungszentrum, Abteilung ATV, Im Neuenheimer Feld 506, W 6900 Heidelberg, FRG
ASM318065v1	NCBI	GCA_003180655.1	337051	True	Human papillomavirus 25	H. Delius, Deutsches Krebsforschungszentrum, Abteilung ATV, Im Neuenheimer Feld 506, W 6900 Heidelberg, FRG
ASM318075v1	NCBI	GCA_003180755.1	337041	True	Human papillomavirus 52	H. Delius, Deutsches Krebsforschungszentrum, Abteilung ATV, Im Neuenheimer Feld 506, W 6900 Heidelberg, FRG
ASM317773v1	NCBI	GCA_003177735.1	333926	True	Human papillomavirus 95	de Villiers E.M., Div. Characterization of Tumorviruses, Deutsches Krebsforschungszentrum, Im Neuenheimer Feld 242, Heidelberg, 69120, GERMANY
ASM317793v1	NCBI	GCA_003177935.1	337042	True	Human papillomavirus 97	Microbiology and Immunology, Albert Einstein College of Medicine of Yeshiva University
ASM317821v1	NCBI	GCA_003178215.1	333924	True	Human papillomavirus 110	Department of Medical Microbiology, Lunds University, Institution of Laboratory Medicine
ASM317873v1	NCBI	GCA_003178735.1	337051	True	Human papillomavirus 124	Microbiology and Immunology, Albert Einstein College of Medicine of Yeshiva University
ASM317879v1	NCBI	GCA_003178795.1	1175849	True	Human papillomavirus 149	Clinic for Dermatology, Venerology und Allergology, Haut Tumor Centrum Charite (HTCC), Charite - Universitaetsmedizin Berlin
ASM317889v1	NCBI	GCA_003178895.1	333924	True	Human papillomavirus 174	Kocjan B.J., Faculty of Medicine, University of Ljubljana, Institute of Microbiology and Immunology, Zaloska 4, Ljubljana, 1000, SLOVENIA
ASM317893v1	NCBI	GCA_003178935.1	1175849	True	Human papillomavirus 139	Microbiology and Immunology, Albert Einstein College of Medicine of Yeshiva University
ASM317895v1	NCBI	GCA_003178955.1	1513256	True	Human papillomavirus 141	Microbiology and Immunology, Albert Einstein College of Medicine of Yeshiva University
ASM317905v1	NCBI	GCA_003179055.1	1175850	True	Human papillomavirus 147	Microbiology and Immunology, Albert Einstein College of Medicine of Yeshiva University
ASM317915v1	NCBI	GCA_003179155.1	337051	True	Human papillomavirus 152	Microbiology and Immunology, Albert Einstein College of Medicine of Yeshiva University
ASM317939v1	NCBI	GCA_003179395.1	1175850	True	Human papillomavirus 164	Genetic Department, Peking University Cancer Hospital & Institute
ASM317949v1	NCBI	GCA_003179495.1	1175852	True	Human papillomavirus 180	Department of Laboratory Medicine, Lund University
ASM317959v1	NCBI	GCA_003179595.1	333926	True	Human papillomavirus 173	Pathology, University of Washington
ASM317969v1	NCBI	GCA_003179695.1	333928	True	Human papillomavirus 200	Laboratory Medicine, Karolinska Institutet
ASM317999v1	NCBI	GCA_003179995.1	333754	True	Human papillomavirus 11	na
ASM318015v1	NCBI	GCA_003180155.1	337042	True	Human papillomavirus type 70	Ola Forslund, Clinical Virology, Medical Microbiology, Malmoe University Hospital, Ing. 78 MAS, Malmoe, S-205 02, Sweden
ASM318017v1	NCBI	GCA_003180175.1	337051	True	Human papillomavirus 20	Andrew D. Farmer, HIV Sequence Database, Los Alamos National Labroatory, T-10, Mail Stop K710, Los Alamos, NM 87501, USA
ASM318027v1	NCBI	GCA_003180275.1	337039	True	Human papillomavirus 28	Andrew D. Farmer, HIV Sequence Database, Los Alamos National Labroatory, T-10, Mail Stop K710, Los Alamos, NM 87501, USA
ASM318029v1	NCBI	GCA_003180295.1	337039	True	Human papillomavirus 29	Andrew D. Farmer, HIV Sequence Database, Los Alamos National Labroatory, T-10, Mail Stop K710, Los Alamos, NM 87501, USA
ASM318039v1	NCBI	GCA_003180395.1	337050	True	Human papillomavirus 66	Andrew D. Farmer, HIV Sequence Database, Los Alamos National Labroatory, T-10, Mail Stop K710, Los Alamos, NM 87501, USA
ASM318057v1	NCBI	GCA_003180575.1	337051	True	Human papillomavirus type 14D	H. Delius, Deutsches Krebsforschungszentrum, Abteilung ATV, Im Neuenheimer Feld 506, W 6900 Heidelberg, FRG
